frameSeqNumber,cameraStamp,receiptStamp,postProcessingStamp,lostPackets,network delay,processing delay,total delay
2797,9899.96,9900.33,9900.34,0,0.370000000001,0.0100000000002,0.380000000001
2802,9900.21,9900.43,9900.43,4,0.220000000001,0.0,0.220000000001
2806,9900.36,9900.54,9900.54,3,0.18,0.0,0.18
2808,9900.37,9900.63,9900.64,1,0.259999999998,0.0100000000002,0.269999999999
2812,9900.52,9900.74,9900.75,3,0.219999999999,0.0100000000002,0.23
2815,9900.58,9900.85,9900.85,2,0.27,0.0,0.27
2817,9900.68,9900.94,9900.95,1,0.26,0.0100000000002,0.27
2820,9900.83,9901.04,9901.04,2,0.210000000001,0.0,0.210000000001
2823,9900.89,9901.14,9901.14,2,0.25,0.0,0.25
2825,9900.99,9901.24,9901.24,1,0.25,0.0,0.25
2827,9901.09,9901.35,9901.35,1,0.26,0.0,0.26
2829,9901.19,9901.45,9901.45,1,0.26,0.0,0.26
2832,9901.34,9901.54,9901.56,2,0.200000000001,0.0199999999986,0.219999999999
2834,9901.4,9901.64,9901.64,1,0.24,0.0,0.24
2836,9901.5,9901.74,9901.75,1,0.24,0.0100000000002,0.25
2838,9901.6,9901.84,9901.85,1,0.24,0.0100000000002,0.25
2840,9901.7,9901.93,9901.94,1,0.23,0.0100000000002,0.24
2842,9901.8,9902.03,9902.03,1,0.230000000001,0.0,0.230000000001
2843,9901.85,9902.13,9902.13,0,0.279999999999,0.0,0.279999999999
2845,9901.95,9902.23,9902.23,1,0.279999999999,0.0,0.279999999999
2847,9902.05,9902.33,9902.33,1,0.280000000001,0.0,0.280000000001
2850,9902.2,9902.45,9902.45,2,0.25,0.0,0.25
2853,9902.3,9902.55,9902.56,2,0.25,0.0100000000002,0.26
2857,9902.41,9902.65,9902.65,3,0.24,0.0,0.24
2859,9902.51,9902.74,9902.75,1,0.23,0.0100000000002,0.24
2861,9902.57,9902.84,9902.84,1,0.27,0.0,0.27
2864,9902.72,9902.93,9902.94,2,0.210000000001,0.0100000000002,0.220000000001
2866,9902.77,9903.04,9903.05,1,0.27,0.0099999999984,0.279999999999
2868,9902.87,9903.14,9903.15,1,0.269999999999,0.0100000000002,0.279999999999
2871,9903.02,9903.25,9903.26,2,0.23,0.0100000000002,0.24
2873,9903.08,9903.35,9903.36,1,0.27,0.0100000000002,0.280000000001
2875,9903.19,9903.45,9903.45,1,0.26,0.0,0.26
2878,9903.28,9903.54,9903.55,2,0.26,0.0099999999984,0.269999999999
2882,9903.39,9903.63,9903.64,3,0.24,0.0100000000002,0.25
2884,9903.49,9903.74,9903.74,1,0.25,0.0,0.25
2887,9903.59,9903.83,9903.84,2,0.24,0.0100000000002,0.25
2890,9903.74,9903.92,9903.93,2,0.18,0.0100000000002,0.190000000001
2893,9903.8,9904.02,9904.02,2,0.220000000001,0.0,0.220000000001
2895,9903.9,9904.13,9904.13,1,0.23,0.0,0.23
2896,9903.95,9904.23,9904.24,0,0.279999999999,0.0100000000002,0.289999999999
2898,9904.05,9904.32,9904.33,1,0.27,0.0100000000002,0.280000000001
2901,9904.2,9904.42,9904.42,2,0.219999999999,0.0,0.219999999999
2903,9904.26,9904.53,9904.53,1,0.27,0.0,0.27
2906,9904.37,9904.65,9904.65,2,0.279999999999,0.0,0.279999999999
2908,9904.47,9904.77,9904.77,1,0.300000000001,0.0,0.300000000001
2910,9904.57,9904.88,9904.88,1,0.309999999999,0.0,0.309999999999
2912,9904.67,9904.98,9904.98,1,0.309999999999,0.0,0.309999999999
2915,9904.82,9905.08,9905.09,2,0.26,0.0100000000002,0.27
2918,9904.93,9905.2,9905.2,2,0.27,0.0,0.27
2922,9905.08,9905.32,9905.32,3,0.24,0.0,0.24
2926,9905.18,9905.42,9905.42,3,0.24,0.0,0.24
2929,9905.29,9905.52,9905.53,2,0.23,0.0100000000002,0.24
2932,9905.4,9905.63,9905.63,2,0.23,0.0,0.23
2934,9905.46,9905.71,9905.73,1,0.25,0.0200000000004,0.27
2937,9905.56,9905.81,9905.81,2,0.25,0.0,0.25
2939,9905.66,9905.9,9905.91,1,0.24,0.0100000000002,0.25
2941,9905.76,9906.0,9906.0,1,0.24,0.0,0.24
2943,9905.87,9906.12,9906.12,1,0.25,0.0,0.25
2945,9905.96,9906.21,9906.21,1,0.25,0.0,0.25
2948,9906.07,9906.3,9906.31,2,0.23,0.0100000000002,0.24
2949,9906.12,9906.4,9906.4,0,0.279999999999,0.0,0.279999999999
2951,9906.22,9906.5,9906.5,1,0.280000000001,0.0,0.280000000001
2955,9906.38,9906.59,9906.59,3,0.210000000001,0.0,0.210000000001
2957,9906.44,9906.69,9906.7,1,0.25,0.0100000000002,0.26
2959,9906.54,9906.8,9906.8,1,0.259999999998,0.0,0.259999999998
2963,9906.7,9906.89,9906.89,3,0.189999999999,0.0,0.189999999999
2964,9906.71,9906.98,9906.99,0,0.27,0.0100000000002,0.280000000001
