frameSeqNumber,cameraStamp,receiptStamp,postProcessingStamp,lostPackets,network delay,processing delay,total delay
31926,26276.03,26276.36,26276.36,0,0.330000000002,0.0,0.330000000002
31927,26276.03,26276.45,26276.45,0,0.420000000002,0.0,0.420000000002
31932,26276.19,26276.56,26276.57,4,0.370000000003,0.0099999999984,0.370000000003
31936,26276.39,26276.67,26276.67,3,0.279999999999,0.0,0.279999999999
31941,26276.54,26276.77,26276.77,4,0.23,0.0,0.23
31945,26276.61,26276.91,26276.91,3,0.299999999999,0.0,0.299999999999
31948,26276.71,26277.03,26277.04,2,0.32,0.010000000002,0.32
31950,26276.81,26277.17,26277.17,1,0.359999999997,0.0,0.359999999997
31956,26276.94,26277.31,26277.32,5,0.370000000003,0.0099999999984,0.370000000003
31961,26277.15,26277.42,26277.42,4,0.269999999997,0.0,0.269999999997
31964,26277.25,26277.52,26277.52,2,0.27,0.0,0.27
31967,26277.35,26277.62,26277.63,2,0.27,0.010000000002,0.27
31971,26277.45,26277.72,26277.74,3,0.27,0.0200000000004,0.27
31973,26277.55,26277.82,26277.84,1,0.27,0.0200000000004,0.27
31976,26277.65,26277.92,26277.94,2,0.269999999997,0.0200000000004,0.269999999997
31978,26277.75,26278.05,26278.05,1,0.299999999999,0.0,0.299999999999
31980,26277.85,26278.14,26278.16,1,0.290000000001,0.0200000000004,0.290000000001
31984,26278.01,26278.25,26278.25,3,0.240000000002,0.0,0.240000000002
31985,26278.05,26278.35,26278.35,0,0.299999999999,0.0,0.299999999999
31989,26278.21,26278.44,26278.44,3,0.23,0.0,0.23
31991,26278.27,26278.53,26278.54,1,0.259999999998,0.010000000002,0.259999999998
31994,26278.37,26278.63,26278.65,2,0.260000000002,0.0200000000004,0.260000000002
31996,26278.47,26278.74,26278.75,1,0.27,0.0099999999984,0.27
32000,26278.57,26278.84,26278.84,3,0.27,0.0,0.27
32003,26278.72,26278.94,26278.94,2,0.219999999998,0.0,0.219999999998
32005,26278.78,26279.03,26279.03,1,0.25,0.0,0.25
32008,26278.83,26279.15,26279.16,2,0.32,0.0099999999984,0.32
32011,26278.99,26279.26,26279.26,2,0.269999999997,0.0,0.269999999997
32015,26279.11,26279.36,26279.36,3,0.25,0.0,0.25
32019,26279.21,26279.45,26279.45,3,0.240000000002,0.0,0.240000000002
32020,26279.26,26279.56,26279.57,0,0.300000000003,0.0099999999984,0.300000000003
32024,26279.41,26279.67,26279.68,3,0.259999999998,0.010000000002,0.259999999998
32028,26279.51,26279.79,26279.79,3,0.280000000002,0.0,0.280000000002
32032,26279.66,26279.9,26279.9,3,0.240000000002,0.0,0.240000000002
